strategy,breakout_atr_mult,stop_atr_mult,vol_mult,max_range_pct,total_trades,win_rate,profit_factor,avg_r,max_dd,total_return,sharpe,final_balance
momentum,0.6,2.0,2.0,0.03,180,35.0,1.08,0.05,34.64,11.35,0.55,111.35
momentum,0.3,3.0,1.5,0.04,281,34.88,1.07,0.0463,52.89,15.68,0.51,115.68
momentum,0.3,3.0,2.5,0.04,166,34.94,1.07,0.0482,36.35,9.76,0.53,109.76
momentum,0.4,2.0,2.5,0.05,175,34.86,1.07,0.0457,34.47,9.38,0.51,109.38
momentum,0.4,2.5,1.5,0.04,264,34.85,1.07,0.0455,54.49,14.2,0.5,114.2
momentum,0.5,2.0,1.5,0.03,241,34.85,1.07,0.0456,43.41,13.03,0.51,113.03
momentum,0.5,2.0,2.0,0.03,201,34.83,1.07,0.0448,38.58,10.44,0.5,110.44
momentum,0.5,2.0,2.0,0.05,215,34.88,1.07,0.0465,34.87,12.09,0.52,112.09
momentum,0.5,2.0,2.5,0.04,158,34.81,1.07,0.0443,31.63,7.95,0.49,107.95
momentum,0.6,2.5,1.3,0.03,218,34.86,1.07,0.0459,46.8,11.84,0.51,111.84
momentum,0.3,2.0,2.0,0.04,237,34.6,1.06,0.038,40.22,8.84,0.42,108.84
momentum,0.3,2.0,2.0,0.05,240,34.58,1.06,0.0375,40.18,8.71,0.42,108.71
momentum,0.3,2.5,1.5,0.05,280,34.64,1.06,0.0393,53.82,11.3,0.44,111.3
momentum,0.3,2.5,2.5,0.04,167,34.73,1.06,0.0419,38.19,7.57,0.47,107.57
momentum,0.4,2.0,2.0,0.04,219,34.7,1.06,0.0411,32.37,9.64,0.46,109.64
momentum,0.4,2.0,2.0,0.05,222,34.68,1.06,0.0405,32.36,9.52,0.45,109.52
momentum,0.4,2.5,1.3,0.05,288,34.72,1.06,0.0417,55.58,13.22,0.46,113.22
momentum,0.5,2.0,2.5,0.05,162,34.57,1.06,0.037,34.25,5.64,0.41,105.64
momentum,0.5,3.0,1.3,0.04,249,34.54,1.06,0.0361,51.03,8.33,0.4,108.33
momentum,0.6,3.0,1.3,0.03,205,34.63,1.06,0.039,49.56,8.05,0.43,108.05
momentum,0.6,3.0,1.5,0.03,194,34.54,1.06,0.0361,44.28,6.36,0.4,106.36
momentum,0.3,3.0,1.3,0.05,296,34.46,1.05,0.0338,52.99,8.4,0.38,108.4
momentum,0.4,2.5,1.3,0.04,290,34.48,1.05,0.0345,57.29,8.74,0.38,108.74
momentum,0.4,2.5,2.5,0.03,157,34.39,1.05,0.0318,38.05,3.78,0.35,103.78
momentum,0.3,2.5,1.3,0.03,284,34.15,1.04,0.0246,56.57,2.73,0.28,102.73
momentum,0.3,2.5,1.5,0.04,275,34.18,1.04,0.0255,53.8,3.07,0.28,103.07
momentum,0.3,2.5,2.5,0.05,172,34.3,1.04,0.0291,40.64,3.15,0.32,103.15
momentum,0.4,3.0,2.5,0.03,158,34.18,1.04,0.0253,42.27,1.65,0.28,101.65
momentum,0.5,3.0,1.5,0.05,243,34.16,1.04,0.0247,50.63,2.37,0.28,102.37
momentum,0.4,2.5,2.5,0.04,162,33.95,1.03,0.0185,38.04,-0.43,0.21,99.57
momentum,0.4,3.0,1.5,0.05,262,33.97,1.03,0.0191,54.56,-0.41,0.21,99.59
momentum,0.4,3.0,2.5,0.04,162,33.95,1.03,0.0185,42.25,-0.46,0.21,99.54
momentum,0.5,3.0,1.5,0.04,236,33.9,1.03,0.0169,51.56,-1.37,0.19,98.63
momentum,0.3,2.5,2.0,0.05,222,33.78,1.02,0.0135,44.66,-2.74,0.15,97.26
momentum,0.3,3.0,1.3,0.04,290,33.79,1.02,0.0138,53.14,-3.38,0.15,96.62
momentum,0.4,2.5,2.5,0.05,166,33.73,1.02,0.012,40.42,-2.52,0.13,97.48
momentum,0.4,3.0,1.5,0.04,257,33.85,1.02,0.0156,55.42,-2.19,0.17,97.81
momentum,0.4,3.0,2.5,0.05,166,33.73,1.02,0.012,43.39,-2.53,0.13,97.47
momentum,0.5,2.5,1.5,0.05,246,33.74,1.02,0.0122,48.17,-3.68,0.14,96.32
momentum,0.5,3.0,1.3,0.05,246,33.74,1.02,0.0122,48.97,-3.72,0.14,96.28
momentum,0.6,2.5,1.5,0.03,204,33.82,1.02,0.0147,43.42,-2.12,0.16,97.88
momentum,0.3,2.5,2.0,0.03,212,33.49,1.01,0.0047,46.61,-6.18,0.05,93.82
momentum,0.4,2.5,2.0,0.05,208,33.65,1.01,0.0096,40.09,-4.19,0.11,95.81
