symbol,setup,direction,entry_dt,exit_dt,entry_price,stop_price,tp_price,exit_price,outcome,r_multiple,pnl_pct,balance_after
ETHUSDT,gap,long,2024-10-07T11:11:00-04:00,2024-10-07T11:15:00-04:00,2488.35,2483.25775,2498.5344999999993,2483.25775,SL,-1.0,-1.0,11194.67
ETHUSDT,premarket,long,2024-10-08T09:57:00-04:00,2024-10-08T10:07:00-04:00,2444.98,2438.7899950000005,2457.360009999999,2438.7899950000005,SL,-1.0,-1.0,11082.72
ETHUSDT,gap,long,2024-10-08T11:06:00-04:00,2024-10-08T11:12:00-04:00,2433.06,2429.214785,2440.7504299999996,2429.214785,SL,-1.0,-1.0,10971.89
ETHUSDT,gap,long,2024-10-09T10:48:00-04:00,2024-10-09T10:54:00-04:00,2431.09,2429.44467,2434.3806600000007,2434.3806600000007,TP,2.0,2.0,11191.33
ETHUSDT,gap,long,2024-10-09T12:27:00-04:00,2024-10-09T13:02:00-04:00,2433.87,2428.3352250000003,2444.939549999999,2428.3352250000003,SL,-1.0,-1.0,11079.42
ETHUSDT,first5,short,2024-10-10T10:06:00-04:00,2024-10-10T10:57:00-04:00,2378.31,2383.9914,2366.9472,2383.9914,SL,-1.0,-1.0,10968.63
ETHUSDT,gap,short,2024-10-10T11:22:00-04:00,2024-10-10T11:25:00-04:00,2384.06,2386.03242,2380.11516,2386.03242,SL,-1.0,-1.0,10858.94
ETHUSDT,gap,short,2024-10-11T10:13:00-04:00,2024-10-11T10:14:00-04:00,2430.15,2432.13546,2426.1790800000003,2432.13546,SL,-1.0,-1.0,10750.35
ETHUSDT,gap,short,2024-10-11T10:20:00-04:00,2024-10-11T11:09:00-04:00,2431.59,2439.15897,2416.4520600000005,2439.15897,SL,-1.0,-1.0,10642.85
ETHUSDT,gap,short,2024-10-12T09:45:00-04:00,2024-10-12T09:57:00-04:00,2459.23,2460.8998349999997,2455.8903300000006,2460.8998349999997,SL,-1.0,-1.0,10536.42
ETHUSDT,gap,long,2024-10-12T10:03:00-04:00,2024-10-12T10:42:00-04:00,2458.48,2455.3017350000005,2464.836529999999,2464.836529999999,TP,2.0,2.0,10747.15
ETHUSDT,gap,short,2024-10-13T09:49:00-04:00,2024-10-13T09:53:00-04:00,2465.05,2466.462615,2462.2247700000007,2462.2247700000007,TP,2.0,2.0,10962.09
ETHUSDT,premarket,short,2024-10-13T13:20:00-04:00,2024-10-13T13:43:00-04:00,2454.7,2459.4090899999997,2445.28182,2445.28182,TP,2.0,2.0,11181.33
ETHUSDT,premarket,long,2024-10-15T10:27:00-04:00,2024-10-15T10:29:00-04:00,2630.74,2620.6890000000003,2650.8419999999987,2620.6890000000003,SL,-1.0,-1.0,11069.52
ETHUSDT,premarket,short,2024-10-15T10:41:00-04:00,2024-10-15T10:47:00-04:00,2564.92,2581.2599849999997,2532.240030000001,2581.2599849999997,SL,-1.0,-1.0,10958.82
ETHUSDT,gap,long,2024-10-16T10:07:00-04:00,2024-10-16T10:09:00-04:00,2618.13,2614.39215,2625.6057,2625.6057,TP,2.0,2.0,11178.0
ETHUSDT,first5,long,2024-10-16T10:16:00-04:00,2024-10-16T10:29:00-04:00,2635.56,2625.596545,2655.48691,2625.596545,SL,-1.0,-1.0,11066.22
ETHUSDT,gap,short,2024-10-17T10:19:00-04:00,2024-10-17T10:20:00-04:00,2595.56,2598.2784899999997,2590.1230200000005,2598.2784899999997,SL,-1.0,-1.0,10955.56
ETHUSDT,gap,short,2024-10-17T11:40:00-04:00,2024-10-17T11:45:00-04:00,2625.88,2628.583635,2620.4727300000004,2620.4727300000004,TP,2.0,2.0,11174.67
