symbol,strategy,direction,entry_ms,exit_ms,entry_price,stop_price,tp_price,exit_price,qty,outcome,r_multiple,pnl_usdt,balance_before,balance_after
ASTERUSDT,momentum,short,1776886200000,1776900600000,0.6805,0.6853073869026283,0.6708852261947434,0.6708852261947434,790.0,TP,2.0,7.6,190.03,197.63
ASTERUSDT,volatility,short,1776888900000,1776900600000,0.6778,0.6814449970002936,0.6705100059994127,0.6705100059994127,1084.0,TP,2.0,7.91,197.63,205.54
ADAUSDT,volatility,short,1776890700000,1776901500000,0.2509,0.2522950356643768,0.24810992867124648,0.24810992867124648,2946.0,TP,2.0,8.22,205.54,213.76
MORPHOUSDT,momentum,long,1776893400000,1776902400000,1.968,1.9447997303756486,2.0144005392487028,1.9447997303756486,184.0,SL,-1.0,-4.28,213.76,209.48
HYPEUSDT,momentum,long,1776894300000,1776899700000,41.615,41.13952441247158,42.565951175056846,41.13952441247158,8.81,SL,-1.0,-4.19,209.48,205.29
ADAUSDT,momentum,short,1776899700000,1776915000000,0.2491,0.2509316538263993,0.24543669234720134,0.24543669234720134,2241.0,TP,2.0,8.21,205.29,213.5
ADAUSDT,volatility,short,1776900600000,1776903300000,0.2488,0.25017204462909953,0.24605591074180092,0.24605591074180092,3112.0,TP,2.0,8.54,213.5,222.04
ETCUSDT,volatility,short,1776901500000,1776903300000,8.439,8.477323582042413,8.362352835915175,8.362352835915175,115.8,TP,2.0,8.88,222.04,230.92
ETCUSDT,momentum,short,1776902400000,1776903300000,8.381,8.43816253014775,8.266674939704501,8.43816253014775,80.7,SL,-1.0,-4.62,230.92,226.3
WLFIUSDT,volatility,short,1776910500000,1776958200000,0.07723,0.07777864920365568,0.07613270159268862,0.07777864920365568,8249.0,SL,-1.0,-4.53,226.3,221.77
WLFIUSDT,volatility,short,1776911400000,1776944700000,0.07701,0.07758481711768028,0.07586036576463942,0.07758481711768028,7716.0,SL,-1.0,-4.44,221.77,217.33
AAVEUSDT,volatility,short,1776928500000,1776943800000,91.51,92.28092069345506,89.9681586130899,92.28092069345506,5.63,SL,-1.0,-4.35,217.33,212.98
DOTUSDT,volatility,short,1776931200000,1776939300000,1.2502,1.2568788674865183,1.2368422650269633,1.2368422650269633,637.7,TP,2.0,8.52,212.98,221.5
MORPHOUSDT,momentum,short,1776933000000,1776947400000,1.8712,1.8949610932187002,1.8236778135625995,1.8949610932187002,186.0,SL,-1.0,-4.43,221.5,217.07
BNBUSDT,volatility,short,1776934800000,1776949200000,633.0,635.0403006158822,628.9193987682356,635.0403006158822,2.12,SL,-1.0,-4.34,217.07,212.73
BNBUSDT,momentum,short,1776938400000,1776945600000,630.9,633.6975210290924,625.3049579418151,633.6975210290924,1.52,SL,-1.0,-4.25,212.73,208.48
XLMUSDT,volatility,long,1776945600000,1776952800000,0.17753,0.17634211507271674,0.1799057698545665,0.17634211507271674,3510.0,SL,-1.0,-4.17,208.48,204.31
SKYUSDT,momentum,long,1776953700000,1776962700000,0.0835,0.08265705718779566,0.0851858856244087,0.0851858856244087,4840.0,TP,2.0,8.17,204.31,212.48
XRPUSDT,volatility,long,1776955500000,1776965400000,1.4293,1.423033128254964,1.441833743490072,1.423033128254964,678.1,SL,-1.0,-4.25,212.48,208.23
BNBUSDT,momentum,long,1776957300000,1776965400000,637.9,634.9779047928639,643.7441904142721,634.9779047928639,1.42,SL,-1.0,-4.16,208.23,204.07
ADAUSDT,volatility,long,1776958200000,1776963600000,0.25,0.24860024379476142,0.25279951241047716,0.24860024379476142,2915.0,SL,-1.0,-4.08,204.07,199.99
SKYUSDT,momentum,long,1776962700000,1776973500000,0.08513,0.0842660246106375,0.086857950778725,0.0842660246106375,4620.0,SL,-1.0,-4.0,199.99,195.99
ADAUSDT,volatility,long,1776991500000,1776993300000,0.2515,0.250046601660114,0.254406796679772,0.250046601660114,2696.0,SL,-1.0,-3.92,195.99,192.07
MORPHOUSDT,momentum,short,1776994200000,1777128300000,1.8702,1.8944138938599953,1.8217722122800097,1.8217722122800097,158.0,TP,2.0,7.68,192.07,199.75
ONDOUSDT,momentum,long,1776995100000,1776998700000,0.2653,0.2627940021143005,0.27031199577139897,0.2627940021143005,1594.0,SL,-1.0,-4.0,199.75,195.75
